Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"TB Nielsen","Call center capacity planning",2010,"","orbit.dtu.dk","https://orbit.dtu.dk/en/publications/call-center-capacity-planning","https://scholar.google.com/scholar?cites=15233403548374726294&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-08-01 17:25:33","","","","",,,,,10,0.67,10,1,15,"… In the last paper Optimization of overflow policies in call centers, overflows between agent groups are … Three different call scheduling methods, including the one actually used in the …","https://orbit.dtu.dk/files/5004575/phd223_tbn.pdf","https://scholar.google.com/scholar?q=related:lvYMNdHrZ9MJ:scholar.google.com/&scioq=%22queue+management%22%7C%22call+scheduling%22+%22optimization%22%7C%22ilp%22%7C%22linear+programming%22+%22call+center%22&hl=en&as_sdt=0,5"
6,"S Vuthipadadon, S Olafsson","An integer programming approach for scheduling inbound calls in call centres",2007,"International Journal of …","inderscienceonline.com","https://www.inderscienceonline.com/doi/abs/10.1504/IJOR.2007.014171","https://scholar.google.com/scholar?cites=14175481297421408613&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-08-01 17:25:33","","10.1504/IJOR.2007.014171","","",,,,,6,0.33,3,2,18,"… The contribution of this work is the novel IP formulation of inbound call scheduling, which to the best of our knowledge has not been considered before, and the insights that are …","","https://scholar.google.com/scholar?q=related:ZRn_lCJtucQJ:scholar.google.com/&scioq=%22queue+management%22%7C%22call+scheduling%22+%22optimization%22%7C%22ilp%22%7C%22linear+programming%22+%22call+center%22&hl=en&as_sdt=0,5"
0,"РМ Петросян","The Design and Implementation of Queue Management and Customer Service Mechanism in the Republic of Armenia",2025,"Регион и мир","cyberleninka.ru","https://cyberleninka.ru/article/n/the-design-and-implementation-of-queue-management-and-customer-service-mechanism-in-the-republic-of-armenia","",3,"2025-08-01 17:25:33","HTML","","","",,,,,0,0.00,0,1,1,"… is to analyze queue management standards and best practices, study queue management … , design a queue management mechanism that can be used by organizations engaged in …","https://cyberleninka.ru/article/n/the-design-and-implementation-of-queue-management-and-customer-service-mechanism-in-the-republic-of-armenia","https://scholar.google.com/scholar?q=related:izTfO--Z18QJ:scholar.google.com/&scioq=%22queue+management%22%7C%22call+scheduling%22+%22optimization%22%7C%22ilp%22%7C%22linear+programming%22+%22call+center%22&hl=en&as_sdt=0,5"
2,"S Vuthipadadon","Scheduling inbound calls in call centers",2009,"","search.proquest.com","https://search.proquest.com/openview/8c48e674daef338bd57cf752d9d891a0/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?cites=9490885135996823716&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-08-01 17:25:33","BOOK","","","",,,,,2,0.13,2,1,16,"… With an effective call scheduling policy, the call center can … novel IP formulation of inbound call scheduling, which to the … has not been addressed previously as an optimization problem…","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=205af1a5b6d2a822cffe921f3d1ee15ddbc33f08","https://scholar.google.com/scholar?q=related:pCggD79ltoMJ:scholar.google.com/&scioq=%22queue+management%22%7C%22call+scheduling%22+%22optimization%22%7C%22ilp%22%7C%22linear+programming%22+%22call+center%22&hl=en&as_sdt=0,5"
20,"MAC Bouzada","Dimensioning a call center: simulation or queue theory?",2009,"Journal of Operations and Supply Chain …","ageconsearch.umn.edu","https://ageconsearch.umn.edu/record/289334/files/11847.pdf","https://scholar.google.com/scholar?cites=6004304341682633868&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-08-01 17:25:33","PDF","","","",,,,,20,1.25,20,1,16,"… able of modeling a call center efficiently and accurately… call center processes and of generating much more robust results regarding the call center performance, allowing its optimization …","https://ageconsearch.umn.edu/record/289334/files/11847.pdf","https://scholar.google.com/scholar?q=related:jDxUkfySU1MJ:scholar.google.com/&scioq=%22queue+management%22%7C%22call+scheduling%22+%22optimization%22%7C%22ilp%22%7C%22linear+programming%22+%22call+center%22&hl=en&as_sdt=0,5"
0,"AA Rezaee, M Akbari","A multi-channel queue model to optimize service level and staff availability in bank industry",2025,"RAIRO-Operations Research","rairo-ro.org","https://www.rairo-ro.org/articles/ro/abs/2025/01/ro230848/ro230848.html","",6,"2025-08-01 17:25:33","","","","",,,,,0,0.00,0,2,1,"… Our research extends the call center scheduling literature to … [1] utilized a queue management system to regulate … by developing an employee scheduling optimization model with three …","https://www.rairo-ro.org/articles/ro/pdf/2025/01/ro230848.pdf","https://scholar.google.com/scholar?q=related:5NYLmY8pNo0J:scholar.google.com/&scioq=%22queue+management%22%7C%22call+scheduling%22+%22optimization%22%7C%22ilp%22%7C%22linear+programming%22+%22call+center%22&hl=en&as_sdt=0,5"
2,"Q Chu, N Palvia","Enhancing the customer service experience in call centers using preemptive solutions and queuing theory",2017,"","dspace.mit.edu","https://dspace.mit.edu/handle/1721.1/112874","https://scholar.google.com/scholar?cites=6615772071138667452&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-08-01 17:25:33","","","","",,,,,2,0.25,1,2,8,"… , manages an inbound call center that supports a range of … sector of inbound service queue management. Some of these … applying this algorithm to call center optimization. One limitation …","https://dspace.mit.edu/bitstream/handle/1721.1/112874/1014340358-MIT.pdf?sequence=1","https://scholar.google.com/scholar?q=related:vKsrl6Xxz1sJ:scholar.google.com/&scioq=%22queue+management%22%7C%22call+scheduling%22+%22optimization%22%7C%22ilp%22%7C%22linear+programming%22+%22call+center%22&hl=en&as_sdt=0,5"
0,"MA Arekamari","A multi-channel queue model to optimize service level and staff availability in bank industry",,"papers.ssrn.com","","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4769463","",8,"2025-08-01 17:25:33","","","","",,,,,0,0.00,0,1,,"… To evaluate the validity and capability of the optimization … a stochastic programming model for call center scheduling in an … Queue management system has been used by Abusair et al. …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4769463","https://scholar.google.com/scholar?q=related:G_nXOiyRN5oJ:scholar.google.com/&scioq=%22queue+management%22%7C%22call+scheduling%22+%22optimization%22%7C%22ilp%22%7C%22linear+programming%22+%22call+center%22&hl=en&as_sdt=0,5"
29,"S Gulati, SA Malcolm","Call center scheduling technology evaluation using simulation",2001,"Proceeding of the 2001 Winter …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/977467/","https://scholar.google.com/scholar?cites=9225590223041048607&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-08-01 17:25:33","","","","",,,,,29,1.21,15,2,24,"… the call center process to compare the performance of three different scheduling approaches. The paper begins with a brief description of call scheduling … use linear programming based …","","https://scholar.google.com/scholar?q=related:H7Ctt23hB4AJ:scholar.google.com/&scioq=%22queue+management%22%7C%22call+scheduling%22+%22optimization%22%7C%22ilp%22%7C%22linear+programming%22+%22call+center%22&hl=en&as_sdt=0,5"
2,"T Dai, Y Lu, N Zivlak, DC Lalic, B Lalic","How does queueing information in pre-sales call centers affect customer repurchase behavior",2024,"Asia-Pacific Journal of …","World Scientific","https://www.worldscientific.com/doi/abs/10.1142/S0217595924400062","https://scholar.google.com/scholar?cites=6318527205033158005&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-08-01 17:25:33","","10.1142/S0217595924400062","","",,,,,2,2.00,0,5,1,"… The optimization goal of pre-sales call centers is not only to … For example, if the call center informs their customers of the … Therefore, this paper takes the e-commerce pre-sales call center …","https://www.worldscientific.com/doi/pdf/10.1142/S0217595924400062","https://scholar.google.com/scholar?q=related:daWkFwTrr1cJ:scholar.google.com/&scioq=%22queue+management%22%7C%22call+scheduling%22+%22optimization%22%7C%22ilp%22%7C%22linear+programming%22+%22call+center%22&hl=en&as_sdt=0,5"
