Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Q Zhang","Dynamic Routing Policies for Multi-Skill Call Centers Using Deep Q Network",2023,"Mathematics","mdpi.com","https://www.mdpi.com/2227-7390/11/22/4662","",1,"2025-08-09 17:15:09","HTML","","","",,,,,0,0.00,0,1,2,"… When the call center queuing system becomes complex, it … is much faster than routing optimization based on simulation … In summary, the multi-skill call center is a complex queuing …","https://www.mdpi.com/2227-7390/11/22/4662","https://scholar.google.com/scholar?q=related:5Y4DgJvJbYAJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22skill+based+routing%22%7C%22skill+based+routing%22%7C%22dynamic+assignment%22+%22queueing+theory%22%7C%22routing+optimization%22%7C%22routing+optimisation%22&hl=en&as_sdt=0,5"
38,"J Chen, J Dong, P Shi","A survey on skill-based routing with applications to service operations management",2020,"Queueing Systems","Springer","https://link.springer.com/article/10.1007/s11134-020-09669-5","https://scholar.google.com/scholar?cites=9138036684406504928&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-08-09 17:15:09","","10.1007/s11134-020-09669-5","","",,,,,38,7.60,13,3,5,"… call center, different customer types can represent different service requirements, for example, individual banking, business banking, and loans in a bank call center, … , call center staff are …","https://par.nsf.gov/servlets/purl/10220507","https://scholar.google.com/scholar?q=related:4L2J9vLT0H4J:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22skill+based+routing%22%7C%22skill+based+routing%22%7C%22dynamic+assignment%22+%22queueing+theory%22%7C%22routing+optimization%22%7C%22routing+optimisation%22&hl=en&as_sdt=0,5"
105,"AN Avramidis, W Chan, P L'Ecuyer","Staffing multi-skill call centers via search methods and a performance approximation",2009,"Iie Transactions","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07408170802322986","https://scholar.google.com/scholar?cites=7683977551452921609&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-08-09 17:15:09","","10.1080/07408170802322986","","",,,,,105,6.56,35,3,16,"… This method can handle arbitrarily complex call center operating conditions (eg, call-routing … If we assume that the call center is a loss system, ie, there are no waiting queues and all …","https://eprints.soton.ac.uk/48882/1/loss-delay.pdf","https://scholar.google.com/scholar?q=related:CV9tIN_4omoJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22skill+based+routing%22%7C%22skill+based+routing%22%7C%22dynamic+assignment%22+%22queueing+theory%22%7C%22routing+optimization%22%7C%22routing+optimisation%22&hl=en&as_sdt=0,5"
0,"CG Park, DH Han","APPROXIMATE ANALYSIS OF A CALL CENTER WITH SKILL-BASED ROUTING",2007,"International Conference on E-business","scitepress.org","https://www.scitepress.org/PublishedPapers/2007/21110/","",4,"2025-08-09 17:15:09","","","","",,,,,0,0.00,0,2,18,"… as mathematical optimization problem using queueing theory. In this paper, we deal with an approximate analysis of the so-called N-design call center with two types of customers, two …","https://www.scitepress.org/PublishedPapers/2007/21110/21110.pdf","https://scholar.google.com/scholar?q=related:tuXVsAXn44oJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22skill+based+routing%22%7C%22skill+based+routing%22%7C%22dynamic+assignment%22+%22queueing+theory%22%7C%22routing+optimization%22%7C%22routing+optimisation%22&hl=en&as_sdt=0,5"
0,"R Stolletz","Queueing Model of a Call Center with two Classes of Customers and Skill-Based Routing",2003,"Performance Analysis and Optimization of Inbound Call …","Springer","https://link.springer.com/content/pdf/10.1007/978-3-642-55506-0_5?pdf=chapter%20toc","",5,"2025-08-09 17:15:09","","10.1007/978-3-642-55506-0_5","","",,,,,0,0.00,0,1,22,"… This section describes a model of an inbound call center with two classes (A and B) of customers and three different groups of agents, as depicted in Figure 5.1. Garnett and …","","https://scholar.google.com/scholar?q=related:x826zXbCdLUJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22skill+based+routing%22%7C%22skill+based+routing%22%7C%22dynamic+assignment%22+%22queueing+theory%22%7C%22routing+optimization%22%7C%22routing+optimisation%22&hl=en&as_sdt=0,5"
2,"M Onderwater","Skill-based Routing Policies in Call Centers",2010,"BMI Paper","martijn-onderwater.nl","https://www.martijn-onderwater.nl/wp-content/uploads/2020/04/bmi-paper.pdf","https://scholar.google.com/scholar?cites=11268352755234348964&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-08-09 17:15:09","PDF","","","",,,,,2,0.13,2,1,15,"… call center as an MDP, apply a dynamic programming algorithm (ie, value iteration) and find a skill-based routing … (usually denote by ELq in queueing theory). So minimizing the costs …","https://www.martijn-onderwater.nl/wp-content/uploads/2020/04/bmi-paper.pdf","https://scholar.google.com/scholar?q=related:pJ-J6yA7YZwJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22skill+based+routing%22%7C%22skill+based+routing%22%7C%22dynamic+assignment%22+%22queueing+theory%22%7C%22routing+optimization%22%7C%22routing+optimisation%22&hl=en&as_sdt=0,5"
34,"TA Mazzuchi, RB Wallace","Analyzing skill-based routing call centers using discrete-event simulation and design experiment",2004,"Proceedings of the 2004 Winter …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1371534/","https://scholar.google.com/scholar?cites=9813584451890496576&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-08-09 17:15:09","","","","",,,,,34,1.62,17,2,21,"… In this section, we formulate our skill-based routing callcenter problem as a mixed-factorial … His research interests include computer systems performance analysis, queueing theory …","","https://scholar.google.com/scholar?q=related:QMQ6fBDbMIgJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22skill+based+routing%22%7C%22skill+based+routing%22%7C%22dynamic+assignment%22+%22queueing+theory%22%7C%22routing+optimization%22%7C%22routing+optimisation%22&hl=en&as_sdt=0,5"
39,"W Chan, G Koole, P L'Ecuyer","Dynamic call center routing policies using call waiting and agent idle times",2014,"Manufacturing &Service …","pubsonline.informs.org","https://pubsonline.informs.org/doi/abs/10.1287/msom.2014.0493","https://scholar.google.com/scholar?cites=10901708527089436436&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-08-09 17:15:09","","10.1287/msom.2014.0493","","",,,,,39,3.55,13,3,11,"We study call routing policies for call centers with multiple call types and multiple agent groups. We introduce new weight-based routing policies where each pair (call type, agent group) …","http://www-labs.iro.umontreal.ca/~chanwyea/publications/weightRouting.pdf","https://scholar.google.com/scholar?q=related:FEcDSiWmSpcJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22skill+based+routing%22%7C%22skill+based+routing%22%7C%22dynamic+assignment%22+%22queueing+theory%22%7C%22routing+optimization%22%7C%22routing+optimisation%22&hl=en&as_sdt=0,5"
3,"NA Hassan, NMS Abdallah, RA Attwa","Optimizing multi-skill call center staffing using queuing models: A study of service level",2024,"Journal of applied research …","scielo.org.mx","https://www.scielo.org.mx/scielo.php?pid=S1665-64232024000200230&script=sci_abstract","https://scholar.google.com/scholar?cites=13741870733102528584&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-08-09 17:15:09","","","","",,,,,3,3.00,1,3,1,"… Routing policy The routing policy in our model is skill-based routing and the importance of the three distinct types of calls. It is assumed that calls of Type 1 are more important than calls …","https://www.scielo.org.mx/pdf/jart/v22n2/2448-6736-jart-22-02-230.pdf","https://scholar.google.com/scholar?q=related:SLjpy5_utL4J:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22skill+based+routing%22%7C%22skill+based+routing%22%7C%22dynamic+assignment%22+%22queueing+theory%22%7C%22routing+optimization%22%7C%22routing+optimisation%22&hl=en&as_sdt=0,5"
2,"F Jatoi, A Masood, SM Daniyal","A NOVEL CALL ROUTING OPTIMIZATION IN AN IN-DIRECT SALES ENVIRONMENT",2025,"","researchgate.net","https://www.researchgate.net/profile/Syed-Daniyal-5/publication/388835395_A_NOVEL_CALL_ROUTING_OPTIMIZATION_IN_AN_IN-DIRECT_SALES_ENVIRONMENT_Chronicle_Abstract/links/67a91ed5461fb56424d32271/A-NOVEL-CALL-ROUTING-OPTIMIZATION-IN-AN-IN-DIRECT-SALES-ENVIRONMENT-Chronicle-Abstract.pdf","https://scholar.google.com/scholar?cites=388683509412835352&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-08-09 17:15:09","PDF","","","",,,,,2,2.00,1,3,1,"… This research proposes a skillbased routing (SBR) algorithm that prioritizes calls … call center optimization. It uses digital, automated, and advanced techniques to update call center …","https://www.researchgate.net/profile/Syed-Daniyal-5/publication/388835395_A_NOVEL_CALL_ROUTING_OPTIMIZATION_IN_AN_IN-DIRECT_SALES_ENVIRONMENT_Chronicle_Abstract/links/67a91ed5461fb56424d32271/A-NOVEL-CALL-ROUTING-OPTIMIZATION-IN-AN-IN-DIRECT-SALES-ENVIRONMENT-Chronicle-Abstract.pdf","https://scholar.google.com/scholar?q=related:GLCarJfhZAUJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22skill+based+routing%22%7C%22skill+based+routing%22%7C%22dynamic+assignment%22+%22queueing+theory%22%7C%22routing+optimization%22%7C%22routing+optimisation%22&hl=en&as_sdt=0,5"
